"Score","Sens","Sens_L","Sens_H","Spec","Spec_L","Spec_H","CAD_Pos_TB","CAD_Pos_Normal","Subgroup","AI","ppv","npv","CAD_Pos","XpertSaved","Comment","X","nnt"
80,0.53853296,0.5235087,0.55350493,0.85516197,0.84753727,0.86254467,0.538532961931291,0.144838033092519,"MDF","CAD4TBv6",0.465858820466293,0.887643209423602,0.219640069571886,0.780359930428114,"",0.14483803,2.14657307335958
81,0.50394615,0.48890144,0.5189855,0.86623165,0.85884707,0.8733666,0.503946146703807,0.133768352365416,"MDF","CAD4TBv6",0.469126743369834,0.881579992497228,0.20410213328971,0.79589786671029,"",0.13376835,2.13162010934784
82,0.48026927,0.46525178,0.49531353,0.87683524,0.86969607,0.88371746,0.480269266480966,0.123164763458401,"MDF","CAD4TBv6",0.477718212254782,0.877934953136485,0.191014619032689,0.808985380967311,"",0.12316476,2.09328422979752
83,0.44637883,0.43145878,0.46137165,0.8873223,0.88044233,0.89393806,0.446378830083565,0.112677697506409,"MDF","CAD4TBv6",0.481664795100022,0.872332096468308,0.176080912696069,0.823919087303931,"",0.1126777,2.07613263450641
84,0.41318477,0.39842785,0.42805953,0.89874155,0.89216485,0.9050461,0.413184772516249,0.101258447914239,"MDF","CAD4TBv6",0.489053884992329,0.867185061189391,0.160524449588621,0.839475550411379,"",0.10125845,2.04476445374866
85,0.37975859,0.36523561,0.39444479,0.90724773,0.90091307,0.9133043,0.379758588672238,0.0927522721976229,"MDF","CAD4TBv6",0.489899726751958,0.861799479821788,0.1472834723278,0.8527165276722,"",0.09275227,2.04123404319903
86,0.35027855,0.3360224,0.36473798,0.91528781,0.90919632,0.92109558,0.350278551532033,0.0847121883010953,"MDF","CAD4TBv6",0.49236534557116,0.857258597963376,0.135169797314974,0.864830202685027,"",0.08471219,2.03101215184015
87,0.31987001,0.3059518,0.33403284,0.92391051,0.91809749,0.92943374,0.319870009285051,0.076089489629457,"MDF","CAD4TBv6",0.496498650092436,0.852750860307544,0.12240778836402,0.87759221163598,"",0.07608949,2.01410416687704
88,0.28783658,0.27434817,0.30161321,0.93101841,0.92545067,0.93629131,0.287836583101207,0.0689815893731065,"MDF","CAD4TBv6",0.494635969704149,0.847868699269872,0.110564038181446,0.889435961818554,"",0.06898159,2.02168879994336
89,0.25719591,0.24419591,0.2705259,0.93987416,0.9346353,0.94481184,0.25719591457753,0.0601258447914239,"MDF","CAD4TBv6",0.50084705306139,0.843608208190032,0.0975691580507841,0.902430841949216,"",0.06012584,1.99661751803784
90,0.22748375,0.21503763,0.24030041,0.94639944,0.94142237,0.95107062,0.227483751160631,0.0536005593101841,"MDF","CAD4TBv6",0.498877280881685,0.839299044264355,0.0866383657617691,0.913361634238231,"",0.05360056,2.00450098315293
91,0.2049675,0.19300021,0.21733613,0.95152645,0.94676873,0.95597452,0.204967502321263,0.04847354928921,"MDF","CAD4TBv6",0.497955752921362,0.836127806751827,0.0782074003653,0.9217925996347,"",0.04847355,2.0082105571294
92,0.17734448,0.16604422,0.18908396,0.95758564,0.95310545,0.9617517,0.177344475394615,0.0424143556280587,"MDF","CAD4TBv6",0.495149376227119,0.832282064053886,0.0680510783837044,0.931948921616296,"",0.04241436,2.0195925674383
93,0.15482823,0.14414681,0.16597986,0.96259613,0.95836316,0.96651117,0.154828226555246,0.0374038685621067,"MDF","CAD4TBv6",0.492633522648831,0.829219278584269,0.0597144965808032,0.940285503419197,"",0.03740387,2.02990652082124
94,0.12465181,0.11492875,0.13488687,0.96865533,0.96474772,0.9722403,0.124651810584958,0.0313446749009555,"MDF","CAD4TBv6",0.482624479086032,0.825101021684827,0.049073030680916,0.950926969319084,"",0.03134467,2.07200430838847
95,0.10909935,0.09994092,0.11879148,0.97261711,0.96894152,0.97596689,0.109099350046425,0.0273828944302027,"MDF","CAD4TBv6",0.483089051113997,0.823139987130415,0.042909020997285,0.957090979002715,"",0.02738289,2.07001172494805
96,0.08797586,0.07968274,0.09683242,0.97599627,0.97253352,0.97913043,0.0879758588672238,0.0240037287345607,"MDF","CAD4TBv6",0.462282550079525,0.820214656808182,0.0361584334597667,0.963841566540233,"",0.02400373,2.16317920680323
97,0.08774373,0.07946086,0.09659038,0.97622932,0.97278183,0.97934802,0.0877437325905292,0.0237706828245164,"MDF","CAD4TBv6",0.464051470096102,0.820212336290021,0.0359255622800589,0.964074437719941,"",0.02377068,2.15493337364691
98,0.06151346,0.05452186,0.06910658,0.98333722,0.98040068,0.98593861,0.0615134633240483,0.0166627825681659,"MDF","CAD4TBv6",0.464079077940014,0.817080846590005,0.0251844119117836,0.974815588088216,"",0.01666278,2.15480517768409
99,0.06104921,0.05408328,0.06861734,0.98333722,0.98040068,0.98593861,0.0610492107706592,0.0166627825681659,"MDF","CAD4TBv6",0.462195436530939,0.817006918619983,0.0250962039266397,0.97490379607336,"",0.01666278,2.16358691791856
100,0,0,0.00085592,1,0.99957025,1,0,0,"MDF","CAD4TBv6",NA,0.81,0,1,"",0,NA
0,1,0.99914408,1,0,0,0.00042975,1,1,"MDF","qXRv2",0.19,NA,1,0,"",1,5.26315789473684
