"","TID"
"511","2010100515-3"
"512","2010100516-1"
"513","2010100517-9"
"514","2010100519-5"
"515","2010100520-3"
"516","2010100521-1"
"517","2010100522-9"
"518","2010100523-7"
"519","2010100524-5"
"520","2010100525-2"
"521","2010100526-0"
"522","2010100527-8"
"523","2010100528-6"
"524","2010100529-4"
"525","2010100530-2"
"526","2010100531-0"
"527","2010100532-8"
"528","2010100533-6"
"529","2010100534-4"
"530","2010100535-1"
"531","2010100536-9"
"532","2010100537-7"
"533","2010100538-5"
"534","2010100539-3"
"535","2010100540-1"
"536","2010100541-9"
"537","2010100542-7"
"538","2010100543-5"
"539","2010100544-3"
"540","2010100545-0"
"541","2010100546-8"
"542","2010100547-6"
"543","2010100548-4"
"544","2010100549-2"
"545","2010100550-0"
"546","2010100551-8"
"547","2010100552-6"
"548","2010100553-4"
"549","2010100555-9"
"550","2010100556-7"
"551","2010100557-5"
"552","2010100558-3"
"553","2010100560-9"
"554","2010100561-7"
"555","2010100562-5"
"556","2010100563-3"
"557","2010100564-1"
"558","2010100565-8"
"559","2010100566-6"
"560","2010100567-4"
"561","2010100568-2"
"562","2010100569-0"
"563","2010100570-8"
"564","2010100571-6"
"565","2010100572-4"
"566","2010100573-2"
"567","2010100575-7"
"568","2010100576-5"
"569","2010100577-24"
"570","2010100578-1"
"571","2010100579-9"
"572","2010100580-7"
"573","2010100581-5"
"574","2010100582-3"
"575","2010100583-1"
"576","2010100585-6"
"577","2010100586-4"
"578","2010100587-2"
"579","2010100588-0"
"580","2010100589-8"
"581","2010100590-6"
"582","2010100591-4"
"583","2010100592-2"
"584","2010100593-0"
"585","2010100594-8"
"586","2010100595-5"
"587","2010100597-1"
"588","2010100598-9"
"589","2010100599-7"
"590","2010100600-3"
"591","2010100601-1"
"592","2010100602-9"
"593","2010100603-7"
"594","2010100604-5"
"595","2010100606-0"
"596","2010100607-8"
"597","2010100609-4"
"598","2010100610-2"
"599","2010100612-8"
"600","2010100613-6"
"601","2010100614-4"
"602","2010100615-1"
"603","2010100616-9"
"604","2010100617-7"
"605","2010100618-5"
"606","2010100620-1"
"607","2010100621-9"
"608","2010100622-7"
"609","2010100623-5"
"610","2010100624-3"
"611","2010100625-0"
"612","2010100626-8"
"613","2010100627-6"
"614","2010100628-4"
"615","2010100629-2"
"616","2010100630-0"
"617","2010100631-8"
"618","2010100632-6"
"619","2010100635-9"
"620","2010100636-7"
"621","2010100637-5"
"622","2010100638-3"
"623","2010100639-1"
"624","2010100640-9"
"625","2010100641-7"
"626","2010100642-5"
"627","2010100643-3"
"628","2010100644-1"
"629","2010100645-8"
"630","2010100646-6"
"631","2010100647-4"
"632","2010100648-2"
"633","2010100649-0"
"634","2010100650-8"
"635","2010100651-6"
"636","2010100652-4"
"637","2010100653-2"
"638","2010100654-0"
"639","2010100655-7"
"640","2010100656-5"
"641","2010100657-3"
"642","2010100658-1"
"643","2010100659-9"
"644","2010100660-7"
"645","2010100661-5"
"646","2010100662-3"
"647","2010100663-1"
"648","20101006634-2"
"649","2010100664-9"
"650","2010100665-6"
"651","2010100666-4"
"652","2010100667-2"
"653","2010100668-0"
"654","2010100669-8"
"655","2010100670-6"
"656","2010100671-4"
"657","2010100672-2"
"658","2010100673-0"
"659","2010100674-8"
"660","2010100675-5"
"661","2010100676-3"
"662","2010100677-1"
"663","2010100678-9"
"664","2010100679-7"
"665","2010100680-5"
"666","2010100681-3"
"667","2010100682-1"
"668","2010100683-9"
"669","2010100684-7"
"670","2010100686-2"
"671","2010100688-8"
"672","2010100689-6"
"673","2010100690-4"
"674","2010100691-2"
"675","2010100692-0"
"676","2010100693-8"
"677","2010100694-6"
"678","2010100695-3"
"679","2010100696-1"
"680","2010100697-9"
"681","2010100698-7"
"682","2010100699-5"
"683","2010100700-1"
"684","2010100702-7"
"685","2010100703-5"
"686","2010100704-3"
"687","2010100706-8"
"688","2010100707-6"
"689","2010100708-4"
"690","2010100709-2"
"691","2010100710-0"
"692","2010100712-6"
"693","2010100713-4"
"694","2010100714-2"
"695","2010100715-9"
"696","2010100717-5"
"697","2010100718-3"
"698","2010100719-1"
"699","2010100720-9"
"700","2010100721-7"
"701","2010100722-5"
"702","2010100723-3"
"703","2010100724-1"
"704","2010100725-8"
"705","2010100726-6"
"706","2010100727-4"
"707","2010100728-2"
"708","2010100729-0"
"709","2010100730-8"
"710","2010100731-6"
"711","2010100732-4"
"712","2010100733-2"
"713","2010100734-0"
"714","2010100735-7"
"715","2010100736-5"
"716","2010100738-1"
"717","2010100739-9"
"718","2010100740-7"
"719","2010100741-5"
"720","2010100742-3"
"721","2010100743-1"
"722","2010100745-6"
"723","2010100746-4"
"724","2010100747-2"
"725","2010100748-0"
"726","2010100749-8"
"727","2010100750-6"
"728","2010100751-4"
"729","2010100752-2"
"730","2010100753-0"
"731","2010100754-8"
"732","2010100755-5"
"733","2010100756-3"
"734","2010100756-4"
"735","2010100757-1"
"736","2010100758-9"
"737","2010100759-7"
"738","2010100760-5"
"739","2010100761-3"
"740","2010100762-1"
"741","2010100763-9"
"742","2010100764-7"
"743","2010100766-2"
"744","2010100767-0"
"745","2010100768-8"
"746","2010100769-6"
"747","2010100770-4"
"748","2010100771-2"
"749","2010100772-0"
"750","2010100773-8"
"751","2010100774-6"
"752","2010100775-3"
"753","2010100776-1"
"754","2010100777-9"
"755","2010100778-7"
"756","2010100779-5"
"757","2010100780-3"
"758","2010100781-1"
"759","2010100782-9"
"760","2010100783-7"
"761","2010100784-5"
"762","2010100785-2"
"763","2010100786-0"
"764","2010100787-8"
"765","2010100788-6"
"766","2010100790-2"
"767","2010100792-8"
"768","2010100793-6"
"769","2010100794-4"
"770","2010100795-1"
"771","2010100796-9"
"772","2010100798-5"
"773","2010100799-2"
"774","2010100800-9"
"775","2010100802-5"
"776","2010100803-3"
"777","2010100804-1"
"778","2010100805-8"
"779","2010100806-6"
"780","2010100807-4"
"781","2010100808-2"
"782","2010100809-0"
"783","2010100810-8"
"784","2010100811-6"
"785","2010100812-4"
"786","2010100813-2"
"787","2010100814-0"
"788","2010100815-7"
"789","2010100816-5"
"790","2010100817-3"
"791","2010100818-1"
"792","2010100819-9"
"793","2010100820-7"
"794","2010100821-5"
"795","2010100822-3"
"796","2010100823-1"
"797","2010100824-9"
"798","2010100825-6"
"799","2010100826-4"
"800","2010100827-2"
"801","2010100828-0"
"802","2010100829-8"
"803","2010100830-6"
"804","2010100831-4"
"805","2010100832-2"
"806","2010100833-0"
"807","2010100834-8"
"808","2010100835-5"
"809","2010100836-3"
"810","2010100837-1"
"811","2010100838-9"
"812","2010100839-7"
"813","2010100840-5"
"814","2010100841-3"
"815","2010100842-1"
"816","2010100843-9"
"817","2010100844-7"
"818","2010100845-4"
"819","2010100846-2"
"820","2010100847-0"
"821","2010100848-8"
"822","2010100849-6"
"823","2010100850-4"
"824","2010100851-2"
"825","2010100852-0"
"826","2010100853-8"
"827","2010100854-6"
"828","2010100855-3"
"829","2010100856-1"
"830","2010100857-9"
"831","2010100858-7"
"832","2010100859-5"
"833","2010100860-6"
"834","2010100861-1"
"835","2010100862-9"
"836","2010100863-7"
"837","2010100864-5"
"838","2010100865-2"
"839","2010100866-0"
"840","2010100867-8"
"841","2010100868-6"
"842","2010100869-4"
"843","2010100870-2"
"844","2010100871-0"
"845","2010100872-8"
"846","2010100873-6"
"847","2010100874-4"
"848","2010100876-9"
"849","2010100877-7"
"850","2010100878-5"
"851","2010100879-3"
"852","2010100880-1"
"853","2010100881-9"
"854","2010100882-7"
"855","2010100883-5"
"856","2010100885-0"
"857","2010100886-8"
"858","2010100887-6"
"859","2010100888-4"
"860","2010100889-2"
"861","2010100890-0"
"862","2010100891-8"
"863","2010100892-6"
"864","2010100893-4"
"865","2010100894-2"
"866","2010100895-9"
"867","2010100896-7"
"868","2010100897-5"
"869","2010100898-3"
"870","2010100899-1"
"871","2010100900-7"
"872","2010100901-5"
"873","2010100902-3"
"874","2010100903-1"
"875","2010100904-6"
"876","2010100905-6"
"877","2010100906-4"
"878","2010100907-2"
"879","2010100908-0"
"880","2010100909-8"
"881","2010100910-6"
"882","2010100911-4"
"883","2010100912-2"
"884","2010100913-0"
"885","2010100914-8"
"886","2010100916-3"
"887","2010100917-1"
"888","2010100918-9"
"889","2010100919-7"
"890","2010100920-5"
"891","2010100921-3"
"892","2010100923-9"
"893","2010100924-7"
"894","2010100925-4"
"895","2010100926-2"
"896","2010100927-0"
"897","2010100928-8"
"898","2010100929-6"
"899","2010100930-4"
"900","2010100931-2"
"901","2010100932-0"
"902","2010100933-8"
"903","2010100934-6"
"904","2010100935-3"
"905","2010100936-1"
"906","2010100937-9"
"907","2010100938-7"
"908","2010100939-5"
"909","2010100940-3"
"910","2010100941-1"
"911","2010100942-9"
"912","2010100943-7"
"913","2010100944-5"
"914","2010100945-2"
"915","2010100946-0"
"916","2010100947-8"
"917","2010100948-6"
"918","2010100949-4"
"919","2010100950-2"
"920","2010100951-0"
"921","2010100952-8"
"922","2010100953-6"
"923","2010100954-4"
"924","2010100955-1"
"925","2010100956-9"
"926","2010100957-7"
"927","2010100958-5"
"928","2010100959-3"
"929","2010100960-1"
"930","2010100961-9"
"931","2010100962-7"
"932","2010100963-5"
"933","2010100964-3"
"934","2010100965-0"
"935","2010100966-8"
"936","2010100967-6"
"937","2010100968-4"
"938","2010100969-2"
"939","2010100970-0"
