FileName,TID,Folder,Option
2020100224-1,2020100224-1,1st Batch\Dhanmondi_TBSTC,
2020100225-8,2020100225-8,1st Batch\Dhanmondi_TBSTC,
2020100226-6,2020100226-6,1st Batch\Dhanmondi_TBSTC,
2020100227-4,2020100227-4,1st Batch\Dhanmondi_TBSTC,
2020100228-2,2020100228-2,1st Batch\Dhanmondi_TBSTC,
2020100229-0,2020100229-0,1st Batch\Dhanmondi_TBSTC,
2020100230-8,2020100230-8,1st Batch\Dhanmondi_TBSTC,
2020100231-6,2020100231-6,1st Batch\Dhanmondi_TBSTC,
2020100233-2,2020100233-2,1st Batch\Dhanmondi_TBSTC,
2020100234-0,2020100234-0,1st Batch\Dhanmondi_TBSTC,
2020100235-7,2020100235-7,1st Batch\Dhanmondi_TBSTC,
2020100236-5,2020100236-5,1st Batch\Dhanmondi_TBSTC,
2020100237-3,2020100237-3,1st Batch\Dhanmondi_TBSTC,
2020100239-9,2020100239-9,1st Batch\Dhanmondi_TBSTC,
2020100240-7,2020100240-7,1st Batch\Dhanmondi_TBSTC,
2020100242-3,2020100242-3,1st Batch\Dhanmondi_TBSTC,
2020100243-1,2020100243-1,1st Batch\Dhanmondi_TBSTC,
2020100244-9,2020100244-9,1st Batch\Dhanmondi_TBSTC,
2020100245-6,2020100245-6,1st Batch\Dhanmondi_TBSTC,
2020100247-2,2020100247-2,1st Batch\Dhanmondi_TBSTC,
2020100248-0,2020100248-0,1st Batch\Dhanmondi_TBSTC,
2020100249-8,2020100249-8,1st Batch\Dhanmondi_TBSTC,
2020100250-6,2020100250-6,1st Batch\Dhanmondi_TBSTC,
2020100251-4,2020100251-4,1st Batch\Dhanmondi_TBSTC,
2020100252-2,2020100252-2,1st Batch\Dhanmondi_TBSTC,
2020100253-0,2020100253-0,1st Batch\Dhanmondi_TBSTC,
2020100254-8,2020100254-8,1st Batch\Dhanmondi_TBSTC,
2020100255-5,2020100255-5,1st Batch\Dhanmondi_TBSTC,
2020100256-3,2020100256-3,1st Batch\Dhanmondi_TBSTC,
2020100257-1,2020100257-1,1st Batch\Dhanmondi_TBSTC,
2020100258-9,2020100258-9,1st Batch\Dhanmondi_TBSTC,
2020100259-7,2020100259-7,1st Batch\Dhanmondi_TBSTC,
2020100260-5,2020100260-5,1st Batch\Dhanmondi_TBSTC,
2020100261-3,2020100261-3,1st Batch\Dhanmondi_TBSTC,
2020100263-9,2020100263-9,1st Batch\Dhanmondi_TBSTC,
2020100264-7,2020100264-7,1st Batch\Dhanmondi_TBSTC,
2020100265-4,2020100265-4,1st Batch\Dhanmondi_TBSTC,
2020100266-2,2020100266-2,1st Batch\Dhanmondi_TBSTC,
2020100267-0,2020100267-0,1st Batch\Dhanmondi_TBSTC,
2020100269-6,2020100269-6,1st Batch\Dhanmondi_TBSTC,
2020100271-2,2020100271-2,1st Batch\Dhanmondi_TBSTC,
2020100272-0,2020100272-0,1st Batch\Dhanmondi_TBSTC,
2020100273-8,2020100273-8,1st Batch\Dhanmondi_TBSTC,
2020100274-6,2020100274-6,1st Batch\Dhanmondi_TBSTC,
2020100275-3,2020100275-3,1st Batch\Dhanmondi_TBSTC,
2020100276-1,2020100276-1,1st Batch\Dhanmondi_TBSTC,
2020100277-9,2020100277-9,1st Batch\Dhanmondi_TBSTC,
2020100278-7,2020100278-7,1st Batch\Dhanmondi_TBSTC,
2020100279-5,2020100279-5,1st Batch\Dhanmondi_TBSTC,
2020100280-3,2020100280-3,1st Batch\Dhanmondi_TBSTC,
2020100281-1,2020100281-1,1st Batch\Dhanmondi_TBSTC,
2020100282-9,2020100282-9,1st Batch\Dhanmondi_TBSTC,
2020100283-7,2020100283-7,1st Batch\Dhanmondi_TBSTC,
2020100284-5,2020100284-5,1st Batch\Dhanmondi_TBSTC,
2020100285-2,2020100285-2,1st Batch\Dhanmondi_TBSTC,
