"Sens","Sens_L","Sens_H","Spec","Spec_L","Spec_H","Score","accuracy","Site","DeepLearningSystem","X","Sen_95CI","Spe_95CI","Sensitivity","Specificity","Index","PPV","NPV","XpertSaved","nnt","CAD_Pos"
0.97469824,0.96955855,0.97917965,0.52260545,0.51197334,0.53322221,15,0.674,"MDF","qXRv3",0.47739455,"96.956-97.91796%","51.1973-53.3222%","97.5% (96.956-97.91796%)","52.3% (51.1973-53.3222%)","qXRv3_15",0.32383006334571,0.98877099953844,0.428117752342523,3.08803941693466,0.571882247657477
0.9726091,0.96728707,0.97727653,0.53239338,0.52176935,0.54299541,16,0.68,"MDF","qXRv3",0.46760662,"96.729-97.72765%","52.1769-54.2995%","97.3% (96.729-97.72765%)","53.2% (52.1769-54.2995%)","qXRv3_16",0.327909508877811,0.988075711862729,0.436442910135377,3.04962184055672,0.563557089864623
0.97168059,0.96627995,0.97642823,0.54101608,0.53040255,0.55160175,17,0.685,"MDF","qXRv3",0.45898392,"96.628-97.64282%","53.0403-55.1602%","97.2% (96.628-97.64282%)","54.1% (53.0403-55.1602%)","qXRv3_17",0.331812624048759,0.987870507513902,0.443603712029691,3.01374910875318,0.556396287970309
0.97028784,0.96477188,0.97515316,0.54742484,0.53682117,0.5579963,18,0.689,"MDF","qXRv3",0.45257516,"96.477-97.51532%","53.6821-55.7996%","97.0% (96.477-97.51532%)","54.7% (53.6821-55.7996%)","qXRv3_18",0.334618105665543,0.987428589596832,0.449059433631359,2.98848144517176,0.550940566368641
0.96935933,0.96376813,0.97430145,0.55441622,0.54382531,0.56497016,19,0.693,"MDF","qXRv3",0.44558378,"96.377-97.43014%","54.3825-56.4970%","96.9% (96.377-97.43014%)","55.4% (54.3825-56.4970%)","qXRv3_19",0.337879085261746,0.987202150320597,0.454898865215723,2.95963865068868,0.545101134784277
0.96866295,0.96301614,0.97366184,0.55965975,0.5490798,0.57019918,20,0.696,"MDF","qXRv3",0.44034025,"96.302-97.36618%","54.9080-57.0199%","96.9% (96.302-97.36618%)","56.0% (54.9080-57.0199%)","qXRv3_20",0.340371039539993,0.987036100499532,0.459278438903996,2.93797028487349,0.540721561096004
0.96750232,0.96176433,0.97259431,0.56420415,0.55363465,0.57473003,21,0.699,"MDF","qXRv3",0.43579585,"96.176-97.25943%","55.3635-57.4730%","96.8% (96.176-97.25943%)","56.4% (55.3635-57.4730%)","qXRv3_21",0.342433988385278,0.986669199323951,0.463179919016005,2.9202708665557,0.536820080983995
0.96727019,0.96151419,0.97238059,0.57142857,0.56087753,0.58193108,22,0.704,"MDF","qXRv3",0.42857143,"96.151-97.23806%","56.0878-58.1931%","96.7% (96.151-97.23806%)","57.1% (56.0878-58.1931%)","qXRv3_22",0.346153628029124,0.986742731503609,0.469075805809789,2.88889070928895,0.530924194190211
0.96657382,0.96076417,0.97173899,0.57632254,0.5657853,0.58680792,23,0.707,"MDF","qXRv3",0.42367746,"96.076-97.17390%","56.5785-58.6808%","96.7% (96.076-97.17390%)","57.6% (56.5785-58.6808%)","qXRv3_23",0.348594050685199,0.986577880577386,0.473172228717358,2.86866628398962,0.526827771282642
0.96610956,0.96026451,0.9713109,0.57981822,0.56929149,0.59029073,24,0.709,"MDF","qXRv3",0.42018178,"96.026-97.13109%","56.9291-59.0291%","96.6% (96.026-97.13109%)","58.0% (56.9291-59.0291%)","qXRv3_24",0.350368377670432,0.986474915799551,0.47609194450954,2.85413885422227,0.52390805549046
0.96239554,0.95627647,0.96787687,0.58611046,0.57560398,0.59655844,25,0.712,"MDF","qXRv3",0.41388954,"95.628-96.78769%","57.5604-59.6558%","96.2% (95.628-96.78769%)","58.6% (57.5604-59.6558%)","qXRv3_25",0.352930221880602,0.985173414370188,0.48189432244336,2.83342127707699,0.51810567755664
