"Site","DeepLearningSystem","Score","Sensitivity","Specificity","PPV","NPV","nnt","XpertSaved%","Sens","Sens_L","Sens_H","Spec","Spec_L","Spec_H","ppv","PPV_L","PPV_H","npv","NPV_L","NPV_H","X"
"MDF","qXRv3",75,"83.9% (82.734-84.95399%)","82.1% (81.2981-82.9308%)","70.2% (68.925736-71.44378%)","91.0% (90.3654850-91.651742%)","1.4 (1.4-1.5)",0.60069822,0.83867224,0.8273433,0.84953992,0.82125379,0.81298082,0.82930804,0.70196231,0.68925736,0.71443785,0.91024151,0.90365485,0.91651742,0.17874621
"MDF","qXRv3",76,"83.0% (81.877-84.14136%)","82.7% (81.9029-83.5142%)","70.7% (69.415977-71.94351%)","90.7% (89.9980890-91.299686%)","1.4 (1.4-1.4)",0.60744763,0.83031569,0.81876804,0.84141359,0.82719646,0.81902852,0.83514161,0.706917,0.69415977,0.71943512,0.90664112,0.89998089,0.91299686,0.17280354
"MDF","qXRv3",77,"82.1% (80.878-83.19204%)","83.5% (82.7098-84.2914%)","71.4% (70.132993-72.66999%)","90.3% (89.5912860-90.907958%)","1.4 (1.4-1.4)",0.61598138,0.82056639,0.80877597,0.83192045,0.83512002,0.82709752,0.8429143,0.71414141,0.70132993,0.7266999,0.90264484,0.89591286,0.90907958,0.16487998
"MDF","qXRv3",78,"81.4% (80.165-82.51319%)","84.2% (83.4341-84.9881%)","72.1% (70.850239-73.39148%)","90.0% (89.3243460-90.648956%)","1.4 (1.4-1.4)",0.62304112,0.8136026,0.80164651,0.8251319,0.84222792,0.8343414,0.84988133,0.72134184,0.70850239,0.73391483,0.90001245,0.89324346,0.90648956,0.15777208
"MDF","qXRv3",79,"80.4% (79.144-81.53910%)","85.1% (84.3018-85.8212%)","73.0% (71.703747-74.25145%)","89.6% (88.9330290-90.270103%)","1.4 (1.3-1.4)",0.63204034,0.80362117,0.79143823,0.81539101,0.85073409,0.84301759,0.85821165,0.72991777,0.71703747,0.74251447,0.8961581,0.88933029,0.90270103,0.14926591
"MDF","qXRv3",80,"78.7% (77.461-79.92815%)","85.9% (85.1821-86.6647%)","73.7% (72.451977-75.01671%)","88.9% (88.2463540-89.608441%)","1.4 (1.3-1.4)",0.64328937,0.7871402,0.77460833,0.79928154,0.85935679,0.85182126,0.86664744,0.73749456,0.72451977,0.75016708,0.88941148,0.88246354,0.89608441,0.14064321
"MDF","qXRv3",81,"77.3% (75.970-78.49624%)","86.9% (86.2064-87.6439%)","74.8% (73.500362-76.07365%)","88.4% (87.6874000-89.065979%)","1.3 (1.3-1.4)",0.65484872,0.77251625,0.75969959,0.78496237,0.86937777,0.86206436,0.87643938,0.74803327,0.73500362,0.76073654,0.88390001,0.876874,0.89065979,0.13062223
"MDF","qXRv3",82,"75.7% (74.410-76.99381%)","87.9% (87.1486-88.5422%)","75.8% (74.481377-77.06346%)","87.8% (87.1068430-88.502135%)","1.3 (1.3-1.3)",0.66609775,0.75719591,0.74410412,0.76993809,0.87858308,0.87148592,0.88542208,0.75789963,0.74481377,0.77063459,0.87817377,0.87106843,0.88502135,0.12141692
"MDF","qXRv3",83,"73.7% (72.382-75.03278%)","88.8% (88.1518-89.4959%)","76.8% (75.509298-78.10532%)","87.1% (86.3509080-87.767769%)","1.3 (1.3-1.3)",0.67928627,0.73723305,0.72381589,0.75032784,0.88837101,0.88151794,0.89495914,0.76826318,0.75509298,0.78105322,0.87071722,0.86350908,0.87767769,0.11162899
"MDF","qXRv3",84,"71.6% (70.239-72.95395%)","89.8% (89.1087-90.4027%)","77.8% (76.519203-79.12975%)","86.3% (85.5692570-87.006941%)","1.3 (1.3-1.3)",0.69255237,0.71610956,0.70238606,0.72953948,0.89769285,0.8910873,0.90402697,0.77845067,0.76519203,0.79129749,0.86299989,0.85569257,0.87006941,0.10230715
"MDF","qXRv3",85,"69.4% (68.005-70.77986%)","90.9% (90.3072-91.5338%)","79.4% (78.024207-80.63499%)","85.6% (84.8130980-86.266947%)","1.3 (1.2-1.3)",0.70768037,0.69405757,0.680053,0.70779857,0.90934514,0.9030725,0.91533823,0.79352442,0.78024207,0.8063499,0.85551414,0.84813098,0.86266947,0.09065486
"MDF","qXRv3",86,"66.3% (64.908-67.75290%)","91.9% (91.3163-92.4816%)","80.5% (79.118870-81.75422%)","84.5% (83.7213870-85.201140%)","1.2 (1.2-1.3)",0.72443755,0.6634169,0.64908294,0.67752896,0.91913307,0.91316335,0.92481636,0.80461712,0.7911887,0.81754224,0.8447205,0.83721387,0.8520114,0.08086693
"MDF","qXRv3",87,"63.0% (61.491-64.39716%)","93.0% (92.4485-93.5393%)","81.9% (80.529309-83.18226%)","83.3% (82.5751920-84.078104%)","1.2 (1.2-1.2)",0.74305663,0.62952646,0.61490544,0.64397165,0.93008623,0.92448543,0.93539285,0.81884058,0.80529309,0.8318226,0.83336814,0.82575192,0.84078104,0.06991377
"MDF","qXRv3",88,"59.0% (57.474-60.43409%)","94.0% (93.4514-94.4700%)","83.1% (81.711318-84.40103%)","82.0% (81.2461620-82.774283%)","1.2 (1.2-1.2)",0.76283941,0.58960074,0.57473899,0.60434088,0.93975763,0.93451426,0.94469991,0.83087995,0.81711318,0.84401031,0.82019729,0.81246162,0.82774283,0.06024237
"MDF","qXRv3",89,"54.3% (52.769-55.76702%)","94.9% (94.3851-95.3301%)","84.2% (82.749724-85.50042%)","80.5% (79.7325550-81.286222%)","1.2 (1.2-1.2)",0.7844841,0.54271123,0.5276943,0.5576702,0.9487299,0.94385092,0.95330128,0.84161267,0.82749724,0.85500422,0.80518196,0.79732555,0.81286222,0.0512701
"MDF","qXRv3",90,"48.8% (47.336-50.34400%)","95.9% (95.4327-96.2860%)","85.6% (84.147303-86.96339%)","78.9% (78.0765610-79.652689%)","1.2 (1.1-1.2)",0.80930954,0.48839369,0.47336309,0.50344003,0.95875087,0.95432662,0.96286011,0.85598047,0.84147303,0.86963391,0.78872699,0.78076561,0.79652689,0.04124913
"MDF","qXRv3",91,"43.2% (41.736-44.71699%)","96.8% (96.3886-97.1471%)","87.1% (85.595114-88.48384%)","77.3% (76.4463840-78.040322%)","1.1 (1.1-1.2)",0.83413499,0.43221913,0.41736037,0.44716987,0.96783966,0.96388634,0.97147101,0.87090739,0.85595114,0.88483838,0.77250744,0.76446384,0.78040322,0.03216034
"MDF","qXRv3",92,"37.3% (35.833-38.74326%)","97.7% (97.3154-97.9674%)","88.9% (87.335651-90.28997%)","75.6% (74.8097610-76.417398%)","1.1 (1.1-1.1)",0.85981381,0.3727948,0.35832963,0.38743265,0.97657889,0.97315444,0.97967425,0.88876591,0.87335651,0.90289974,0.75620319,0.74809761,0.76417398,0.02342111
"MDF","qXRv3",93,"30.2% (28.877-31.64233%)","98.4% (98.1408-98.6795%)","90.6% (88.985618-92.07006%)","73.8% (72.9439530-74.564036%)","1.1 (1.1-1.1)",0.88844065,0.30246054,0.28876613,0.31642326,0.9842694,0.9814079,0.98679485,0.90611961,0.88985618,0.92070056,0.73760042,0.72943953,0.74564036,0.0157306
"MDF","qXRv3",94,"22.9% (21.640-24.17191%)","99.1% (98.8928-99.3017%)","92.8% (91.124412-94.32054%)","71.9% (71.0946270-72.722780%)","1.1 (1.1-1.1)",0.91761055,0.22887651,0.21640252,0.24171914,0.99114426,0.98892808,0.99301652,0.92843691,0.91124412,0.94320537,0.71914102,0.71094627,0.7272278,0.00885574
"MDF","qXRv3",95,"14.5% (13.491-15.61909%)","99.6% (99.4197-99.7060%)","94.6% (92.550604-96.16254%)","69.9% (69.0669360-70.701147%)","1.1 (1-1.1)",0.94864236,0.14531105,0.13491451,0.15619095,0.99580517,0.99419728,0.99706032,0.94561934,0.92550604,0.96162542,0.6988878,0.69066936,0.70701147,0.00419482999999998
"MDF","qXRv3",96,"7.4% (6.618-8.20328%)","99.8% (99.6687-99.8756%)","94.6% (91.665346-96.79448%)","68.2% (67.3946490-69.031500%)","1.1 (1-1.1)",0.97393328,0.07381616,0.06618317,0.08203281,0.99790259,0.9966872,0.99875648,0.94642857,0.91665346,0.96794477,0.68217301,0.67394649,0.690315,0.00209740999999997
"MDF","qXRv3",97,"2.1% (1.704-2.58723%)","100.0% (99.9158-99.9972%)","97.8% (92.446703-99.73849%)","67.0% (66.2248620-67.861307%)","1 (1-1.1)",0.9927851,0.02112349,0.01704057,0.02587235,0.99976695,0.99915841,0.99997178,0.97849462,0.92446703,0.99738491,0.67046964,0.66224862,0.67861307,0.000233049999999957
"MDF","qXRv3",98,"0.2% (0.096-0.39621%)","100.0% (99.9570-100.0000%)","100.0% (66.373288-100.00000%)","66.6% (65.8033610-67.439645%)","1 (1-1.5)",0.99930178,0.00208914,0.00095572,0.00396211,1,0.99957025,1,1,0.66373288,1,0.66625262,0.65803361,0.67439645,0
"MDF","qXRv3",99,"0.0% (0.000-0.08559%)","100.0% (99.9570-100.0000%)","NA (0.000000-100.00000%)","66.6% (65.7568600-67.393135%)","NaN (1-Inf)",1,0,0,0.00085592,1,0.99957025,1,NA,0,1,0.66578743,0.6575686,0.67393135,0
"MDF","qXRv3",100,"0.0% (0.000-0.08559%)","100.0% (99.9570-100.0000%)","NA (0.000000-100.00000%)","66.6% (65.7568600-67.393135%)","NaN (1-Inf)",1,0,0,0.00085592,1,0.99957025,1,NA,0,1,0.66578743,0.6575686,0.67393135,0
