"Site","DeepLearningSystem","Score","Sensitivity","Specificity","PPV","NPV","nnt","XpertSaved"
"MDF","qXRv2",10,"99.3% (99.007-99.52968%)","24.4% (23.5402-25.3702%)",0.235651657712561,0.993362492396197,4.24355173100358,0.199339899082682
"MDF","qXRv2",11,"99.1% (98.818-99.39458%)","27.2% (26.2571-28.1513%)",0.242094536572925,0.992646791252773,4.13061779152862,0.221923155112718
"MDF","qXRv2",12,"98.8% (98.420-99.09723%)","29.9% (28.9208-30.8692%)",0.248416415160397,0.99061568234082,4.02549887596728,0.24438732511549
"MDF","qXRv2",13,"98.5% (98.107-98.85407%)","32.2% (31.1840-33.1721%)",0.254115326024039,0.989284410236384,3.93522112832108,0.263415757365668
"MDF","qXRv2",14,"98.3% (97.900-98.69007%)","34.4% (33.4384-35.4605%)",0.260264124038223,0.988746327007088,3.84225065093158,0.282173390051991
"MDF","qXRv2",15,"98.2% (97.720-98.54554%)","36.1% (35.0470-37.0902%)",0.264787287824862,0.988213128528865,3.77661634821921,0.295601437505937
"MDF","qXRv2",16,"98.0% (97.566-98.42101%)","37.6% (36.5757-38.6367%)",0.269275425761317,0.98784126371245,3.71366973860581,0.308324695812336
"MDF","qXRv2",17,"97.8% (97.362-98.25414%)","38.9% (37.8504-39.9245%)",0.273002398737234,0.98714450517467,3.66297147799974,0.319059723045384
"MDF","qXRv2",18,"97.7% (97.158-98.08643%)","40.2% (39.1955-41.2819%)",0.277082892166805,0.986516259935549,3.60902830261349,0.33036105183984
"MDF","qXRv2",19,"97.6% (97.082-98.02334%)","41.5% (40.4950-42.5916%)",0.281382829144668,0.98655146726253,3.55387712547971,0.341064326297164
"MDF","qXRv2",20,"97.5% (97.006-97.96015%)","42.7% (41.6908-43.7954%)",0.285450706695934,0.986552058037486,3.50323182441869,0.350918148412377
"MDF","qXRv2",21,"97.4% (96.905-97.87574%)","43.8% (42.7710-44.8818%)",0.289167985891199,0.986396439322316,3.45819747963474,0.359872238584483
"MDF","qXRv2",22,"97.3% (96.754-97.74884%)","44.7% (43.6889-45.8043%)",0.292279944315251,0.985962289966152,3.42137741384475,0.367593166431782
"MDF","qXRv2",23,"97.1% (96.578-97.60036%)","45.5% (44.4910-46.6097%)",0.294973371034307,0.985393467880962,3.39013652823493,0.374414362335973
"MDF","qXRv2",24,"96.9% (96.352-97.40883%)","46.3% (45.2701-47.3914%)",0.297535277553194,0.984609573724616,3.36094599680274,0.381134999038172
"MDF","qXRv2",25,"96.8% (96.176-97.25943%)","47.3% (46.2007-48.3246%)",0.300857220139533,0.984126869411175,3.32383580336286,0.38899441447161
"MDF","qXRv2",26,"96.6% (96.001-97.10968%)","47.9% (46.8523-48.9776%)",0.303127295521258,0.983569504963904,3.29894408974421,0.394588623659418
"MDF","qXRv2",27,"96.4% (95.852-96.98105%)","48.7% (47.6439-49.7702%)",0.30606867262899,0.983183670772205,3.26724062090529,0.401271331977469
"MDF","qXRv2",28,"96.4% (95.802-96.93812%)","49.6% (48.4939-50.6208%)",0.309528923415293,0.983255049743061,3.23071585351753,0.408249542293072
"MDF","qXRv2",29,"96.4% (95.752-96.89517%)","50.1% (49.0646-51.1917%)",0.31186369933137,0.983232552732727,3.2065290129758,0.412962546363045
"MDF","qXRv2",30,"96.1% (95.478-96.65851%)","50.7% (49.6588-51.7856%)",0.313870324318927,0.982285067291726,3.18602914171615,0.418261253553301
"MDF","qXRv2",31,"95.9% (95.255-96.46438%)","51.4% (50.3813-52.5075%)",0.316588621149428,0.981610781937456,3.15867322195388,0.424509972287661
"MDF","qXRv2",32,"95.8% (95.131-96.35634%)","52.0% (50.8942-53.0196%)",0.318626818294811,0.981284128252407,3.13846777038945,0.428883370367509
"MDF","qXRv2",33,"95.5% (94.884-96.13991%)","52.6% (51.5238-53.6480%)",0.320966785796912,0.980507468572629,3.11558717054523,0.434421124345897
"MDF","qXRv2",34,"95.4% (94.760-96.03152%)","53.2% (52.1769-54.2995%)",0.323728430518975,0.980250167115747,3.08900889055954,0.439927125548561
"MDF","qXRv2",35,"95.2% (94.563-95.85786%)","53.7% (52.6436-54.7648%)",0.325497628781325,0.979639204717876,3.07221900123831,0.444055301231854
"MDF","qXRv2",36,"95.1% (94.439-95.74919%)","54.3% (53.2503-55.3695%)",0.328127876313757,0.979380735664909,3.04759233270323,0.449183768060247
"MDF","qXRv2",37,"95.0% (94.292-95.61866%)","54.9% (53.8572-55.9740%)",0.330753476535551,0.979033057718597,3.02339981570085,0.454356338881211
"MDF","qXRv2",38,"94.9% (94.218-95.55333%)","55.5% (54.4292-56.5435%)",0.333417839100535,0.97896212011736,2.99923964085938,0.459113446943755
"MDF","qXRv2",39,"94.7% (93.996-95.35717%)","56.0% (54.9780-57.0896%)",0.33568339731795,0.97832570775076,2.9789974958244,0.463946411774596
"MDF","qXRv2",40,"94.7% (93.972-95.33535%)","56.6% (55.5036-57.6124%)",0.338309448739049,0.978430158053779,2.95587369412002,0.468237777477725
"MDF","qXRv2",41,"94.5% (93.824-95.20439%)","56.9% (55.8775-57.9841%)",0.339911579161252,0.97801921378124,2.9419415557056,0.47152267642733
"MDF","qXRv2",42,"94.5% (93.726-95.11702%)","57.4% (56.3682-58.4718%)",0.342259300280207,0.977839668553347,2.92176136391707,0.475663203327471
"MDF","qXRv2",43,"94.3% (93.530-94.94210%)","57.9% (56.8590-58.9594%)",0.344422070725912,0.97730388199867,2.90341440051266,0.4799801461979
"MDF","qXRv2",44,"94.2% (93.408-94.83268%)","58.5% (57.4318-59.5282%)",0.34723337553232,0.977075861941392,2.8799074929562,0.484825462245589
"MDF","qXRv2",45,"94.0% (93.236-94.67935%)","58.9% (57.8995-59.9924%)",0.349404024138624,0.976635892578108,2.8620162645959,0.48890953393631
"MDF","qXRv2",46,"93.8% (93.089-94.54781%)","59.5% (58.4257-60.5145%)",0.351993646363846,0.976313234494238,2.84096037053558,0.493421419602299
"MDF","qXRv2",47,"93.5% (92.772-94.26246%)","59.9% (58.8468-60.9321%)",0.353634037711323,0.975349634331468,2.827782094936,0.49739258087418
"MDF","qXRv2",48,"93.4% (92.601-94.10861%)","60.3% (59.2446-61.3264%)",0.355507998492684,0.974906411786397,2.81287623412101,0.500910351003493
"MDF","qXRv2",49,"93.2% (92.357-93.88861%)","60.8% (59.7478-61.8250%)",0.357850507403159,0.974257176588073,2.79446299309949,0.505409885452634
"MDF","qXRv2",50,"93.0% (92.235-93.77852%)","61.2% (60.1691-62.2423%)",0.360038615497801,0.974006947182723,2.77747985064704,0.509028214783939
"MDF","qXRv2",51,"92.8% (92.016-93.58020%)","61.7% (60.7076-62.7755%)",0.362731021214415,0.973474086152954,2.75686374066387,0.513766796021212
"MDF","qXRv2",52,"92.6% (91.748-93.33754%)","62.2% (61.1994-63.2621%)",0.365073850422827,0.972765648748321,2.73917181096867,0.518216050869356
"MDF","qXRv2",53,"92.3% (91.481-93.09462%)","62.7% (61.6913-63.7487%)",0.367460361035779,0.972069273095033,2.72138196670044,0.522665305717501
"MDF","qXRv2",54,"92.2% (91.384-93.00622%)","63.2% (62.2067-64.2583%)",0.370450662226713,0.971963968986522,2.69941479923177,0.526994599804778
"MDF","qXRv2",55,"92.0% (91.189-92.82932%)","63.7% (62.6637-64.7099%)",0.372884684748499,0.971512504422984,2.68179424068992,0.531028391894503
"MDF","qXRv2",56,"91.9% (90.995-92.65229%)","64.2% (63.2145-65.2540%)",0.375971532093261,0.971108618167031,2.65977584641155,0.535817252732772
"MDF","qXRv2",57,"91.6% (90.680-92.36435%)","64.7% (63.6600-65.6938%)",0.378125038867637,0.970269387177892,2.64462782733108,0.539977181191789
"MDF","qXRv2",58,"91.3% (90.414-92.12047%)","65.3% (64.2815-66.3071%)",0.381622695286409,0.969679068384308,2.6203892282913,0.545464655569181
"MDF","qXRv2",59,"90.9% (90.002-91.74312%)","65.8% (64.7389-66.7582%)",0.383713541619458,0.968559901762871,2.60611078717606,0.549895383592053
"MDF","qXRv2",60,"90.6% (89.640-91.40977%)","66.2% (65.2082-67.2208%)",0.386049223600438,0.967618115287414,2.59034324865008,0.55433228722335
"MDF","qXRv2",61,"90.3% (89.422-91.20958%)","66.8% (65.7714-67.7758%)",0.389464534238196,0.967193662101266,2.56762788929171,0.559259635647758
"MDF","qXRv2",62,"89.8% (88.868-90.69742%)","67.4% (66.3935-68.3884%)",0.39252143117911,0.965748339993416,2.54763159554387,0.565276357936014
"MDF","qXRv2",63,"89.6% (88.627-90.47450%)","67.9% (66.8984-68.8853%)",0.395601512021642,0.96524476864951,2.52779620302688,0.569775892385155
"MDF","qXRv2",64,"89.4% (88.482-90.34068%)","68.4% (67.3917-69.3705%)",0.398907342220193,0.965039798452802,2.50684781692489,0.57400462727044
"MDF","qXRv2",65,"89.2% (88.193-90.07289%)","68.9% (67.9555-69.9249%)",0.402444907998203,0.964431299102909,2.48481215720703,0.579064287672564
"MDF","qXRv2",66,"88.5% (87.544-89.46966%)","69.6% (68.6136-70.5714%)",0.405860304244784,0.962791012131604,2.46390196218075,0.585540576711811
"MDF","qXRv2",67,"88.2% (87.231-89.17889%)","70.2% (69.2249-71.1715%)",0.40989790074549,0.962165996104512,2.43963191365771,0.591021875480779
"MDF","qXRv2",68,"87.8% (86.775-88.75356%)","70.6% (69.5894-71.5292%)",0.411637296944643,0.960996543787383,2.42932311387343,0.594785742740252
"MDF","qXRv2",69,"87.4% (86.367-88.37265%)","71.2% (70.1892-72.1175%)",0.415491425708776,0.960109094509324,2.4067885355134,0.60034907388594
"MDF","qXRv2",70,"87.0% (85.936-87.96898%)","71.8% (70.8481-72.7633%)",0.419892266167768,0.959199901311091,2.38156327366232,0.606428426992039
"MDF","qXRv2",71,"86.6% (85.505-87.56498%)","72.4% (71.4719-73.3742%)",0.424121287061568,0.958289474717242,2.35781610238968,0.612224629317435
"MDF","qXRv2",72,"86.2% (85.146-87.22805%)","73.0% (72.0959-73.9849%)",0.428676546998028,0.957601135346543,2.33276116223965,0.617888519665115
"MDF","qXRv2",73,"85.8% (84.692-86.80096%)","73.7% (72.7555-74.6299%)",0.433429370204471,0.956674312504958,2.30718098205539,0.624011976763787
"MDF","qXRv2",74,"85.2% (84.070-86.21598%)","74.4% (73.4154-75.2746%)",0.437870366344542,0.955297466977951,2.28378094719738,0.630444161810462
