"Country","DeepLearningSystem","Score","%XpertSaved","accuracy","Sens","Sensitivity","Specificity","PPV","NPV","X","Comment"
"Bangladesh","JF1",0.9,0.5243,0.649,0.9091,"0.9091(0.9-0.92)","0.6022(0.6-0.61)","0.2912(0.28-0.3)","0.9736(0.97-0.98)",0.3978,""
"Bangladesh","JF1",0.91,0.5296,0.6537,0.9072,"0.9072(0.9-0.92)","0.6082(0.6-0.61)","0.2939(0.29-0.3)","0.9733(0.97-0.98)",0.3918,""
"Bangladesh","JF1",0.92,0.5358,0.6585,0.9025,"0.9025(0.89-0.91)","0.6146(0.61-0.62)","0.2963(0.29-0.3)","0.9723(0.97-0.98)",0.3854,""
"Bangladesh","JF1",0.93,0.5428,0.664,0.8976,"0.8976(0.89-0.91)","0.622(0.62-0.63)","0.2992(0.29-0.31)","0.9713(0.97-0.97)",0.378,""
"Bangladesh","JF1",0.94,0.5503,0.6699,0.8924,"0.8924(0.88-0.9)","0.6299(0.62-0.64)","0.3024(0.29-0.31)","0.9702(0.97-0.97)",0.3701,""
"Bangladesh","JF1",0.95,0.5593,0.6768,0.8856,"0.8856(0.87-0.9)","0.6393(0.63-0.65)","0.3062(0.3-0.32)","0.9688(0.97-0.97)",0.3607,"Radiologists' specificity = 0.627(0.621-0.634)"
"Bangladesh","JF1",0.96,0.5719,0.6869,0.8771,"0.8771(0.87-0.89)","0.6527(0.65-0.66)","0.3122(0.3-0.32)","0.9673(0.96-0.97)",0.3473,""
"Bangladesh","JF1",0.97,0.5874,0.6998,0.8689,"0.8689(0.86-0.88)","0.6694(0.66-0.68)","0.3209(0.31-0.33)","0.966(0.96-0.97)",0.3306,""
"Bangladesh","JF1",0.98,0.6093,0.7156,0.8487,"0.8487(0.84-0.86)","0.6916(0.69-0.7)","0.331(0.32-0.34)","0.9622(0.96-0.97)",0.3084,""
"Bangladesh","JF1",0.99,0.6474,0.7435,0.8154,"0.8154(0.8-0.83)","0.7306(0.72-0.74)","0.3524(0.34-0.36)","0.9565(0.95-0.96)",0.2694,""
"Bangladesh","JF1",1,0.9898,0.853,0.0511,"0.0511(0.04-0.06)","0.9972(1-1)","0.7633(0.7-0.82)","0.8539(0.85-0.86)",0.00280000000000002,"Radiologists' specificity = 0.89(0.886-0.894)"
"Bangladesh","JF2",0,0,0.1524,1,"1(1-1)","0(0-0)","0.1524(0.15-0.16)","NaN(0-1)",1,""
"Bangladesh","JF2",0.01,0.0707,0.222,0.9965,"0.9965(0.99-1)","0.0828(0.08-0.09)","0.1634(0.16-0.17)","0.9924(0.99-1)",0.9172,""
"Bangladesh","JF2",0.02,0.1396,0.2891,0.9907,"0.9907(0.99-0.99)","0.163(0.16-0.17)","0.1755(0.17-0.18)","0.9899(0.99-0.99)",0.837,""
"Bangladesh","JF2",0.03,0.1877,0.3366,0.9885,"0.9885(0.98-0.99)","0.2194(0.21-0.23)","0.1855(0.18-0.19)","0.9907(0.99-0.99)",0.7806,""
"Bangladesh","JF2",0.04,0.2228,0.3706,0.985,"0.985(0.98-0.99)","0.2602(0.25-0.27)","0.1931(0.19-0.2)","0.9897(0.99-0.99)",0.7398,""
"Bangladesh","JF2",0.05,0.2528,0.3997,0.9823,"0.9823(0.98-0.99)","0.295(0.29-0.3)","0.2003(0.19-0.21)","0.9893(0.99-0.99)",0.705,""
"Bangladesh","JF2",0.06,0.2742,0.4206,0.9803,"0.9803(0.98-0.98)","0.32(0.31-0.33)","0.2058(0.2-0.21)","0.9891(0.99-0.99)",0.68,""
"Bangladesh","JF2",0.07,0.2926,0.4381,0.9773,"0.9773(0.97-0.98)","0.3411(0.33-0.35)","0.2105(0.2-0.22)","0.9882(0.99-0.99)",0.6589,""
"Bangladesh","JF2",0.08,0.3091,0.4538,0.9749,"0.9749(0.97-0.98)","0.3601(0.35-0.37)","0.215(0.21-0.22)","0.9876(0.98-0.99)",0.6399,""
"Bangladesh","JF2",0.09,0.3244,0.4684,0.9724,"0.9724(0.97-0.98)","0.3777(0.37-0.38)","0.2193(0.21-0.23)","0.987(0.98-0.99)",0.6223,""
"Bangladesh","JF2",0.1,0.3376,0.4813,0.9713,"0.9713(0.97-0.98)","0.3931(0.39-0.4)","0.2235(0.22-0.23)","0.9871(0.98-0.99)",0.6069,""
"Bangladesh","JF2",0.11,0.35,0.4928,0.9686,"0.9686(0.96-0.97)","0.4072(0.4-0.41)","0.2271(0.22-0.23)","0.9863(0.98-0.99)",0.5928,""
"Bangladesh","JF2",0.12,0.3607,0.5028,0.9661,"0.9661(0.96-0.97)","0.4195(0.41-0.43)","0.2303(0.22-0.24)","0.9857(0.98-0.99)",0.5805,""
"Bangladesh","JF2",0.13,0.3701,0.5113,0.9631,"0.9631(0.96-0.97)","0.43(0.42-0.44)","0.233(0.23-0.24)","0.9848(0.98-0.99)",0.57,""
"Bangladesh","JF2",0.14,0.3795,0.5198,0.9604,"0.9604(0.95-0.97)","0.4406(0.43-0.45)","0.2359(0.23-0.24)","0.9841(0.98-0.99)",0.5594,""
"Bangladesh","JF2",0.15,0.3867,0.5267,0.9593,"0.9593(0.95-0.97)","0.4489(0.44-0.46)","0.2384(0.23-0.25)","0.984(0.98-0.99)",0.5511,""
"Bangladesh","JF2",0.16,0.3933,0.5324,0.9566,"0.9566(0.95-0.96)","0.4562(0.45-0.46)","0.2403(0.23-0.25)","0.9832(0.98-0.99)",0.5438,""
"Bangladesh","JF2",0.17,0.3989,0.5378,0.9555,"0.9555(0.95-0.96)","0.4627(0.46-0.47)","0.2422(0.24-0.25)","0.983(0.98-0.99)",0.5373,""
"Bangladesh","JF2",0.18,0.4059,0.5445,0.9547,"0.9547(0.95-0.96)","0.4708(0.46-0.48)","0.2449(0.24-0.25)","0.983(0.98-0.99)",0.5292,""
"Bangladesh","JF2",0.19,0.4124,0.5503,0.9525,"0.9525(0.95-0.96)","0.478(0.47-0.48)","0.247(0.24-0.25)","0.9824(0.98-0.98)",0.522,""
"Bangladesh","JF2",0.2,0.418,0.5552,0.9503,"0.9503(0.94-0.96)","0.4842(0.48-0.49)","0.2488(0.24-0.26)","0.9819(0.98-0.98)",0.5158,"Radiologists' specificity = 0.461(0.454-0.467)"
"Bangladesh","JF2",0.21,0.4234,0.5602,0.9489,"0.9489(0.94-0.96)","0.4903(0.48-0.5)","0.2508(0.24-0.26)","0.9816(0.98-0.98)",0.5097,""
"Bangladesh","JF2",0.22,0.4281,0.5643,0.947,"0.947(0.94-0.95)","0.4955(0.49-0.5)","0.2523(0.25-0.26)","0.9811(0.98-0.98)",0.5045,""
"Bangladesh","JF2",0.23,0.4328,0.5688,0.9462,"0.9462(0.94-0.95)","0.501(0.49-0.51)","0.2542(0.25-0.26)","0.9811(0.98-0.98)",0.499,""
"Bangladesh","JF2",0.24,0.4373,0.5726,0.9437,"0.9437(0.94-0.95)","0.5058(0.5-0.51)","0.2556(0.25-0.26)","0.9804(0.98-0.98)",0.4942,""
"Bangladesh","JF2",0.25,0.4414,0.576,0.9416,"0.9416(0.93-0.95)","0.5103(0.5-0.52)","0.2569(0.25-0.26)","0.9798(0.98-0.98)",0.4897,""
"Bangladesh","JF2",0.26,0.4454,0.5795,0.9402,"0.9402(0.93-0.95)","0.5147(0.51-0.52)","0.2583(0.25-0.27)","0.9795(0.98-0.98)",0.4853,""
"Bangladesh","JF2",0.27,0.4491,0.5827,0.9386,"0.9386(0.93-0.95)","0.5188(0.51-0.53)","0.2596(0.25-0.27)","0.9792(0.98-0.98)",0.4812,""
"Bangladesh","JF2",0.28,0.4527,0.5858,0.9366,"0.9366(0.93-0.94)","0.5228(0.52-0.53)","0.2608(0.25-0.27)","0.9787(0.98-0.98)",0.4772,""
